English source,Translation,Layer,Identifier,Limits,State,Reviewer notes
,,In-app,,,needs_review,
%1$@%2$@,%1$@%2$@,In-app,%@%@,,needs_review,
%1$@%2$@%3$@,%1$@%2$@%3$@,In-app,%@%@%@,,needs_review,
%lld,%lld,In-app,%lld,,needs_review,
%lld life remaining,%lld vida restant,In-app,%lld life remaining,,needs_review,
%lld lives remaining,%lld vides restants,In-app,%lld lives remaining,,needs_review,
0%,0%,In-app,0%,,needs_review,
100%,100%,In-app,100%,,needs_review,
Close,Tancar,In-app,Close,,needs_review,
Game Center is unavailable for this account.,Game Center no ha estat disponible per a este compte.,In-app,Game Center is unavailable for this account.,,needs_review,
Game Center leaderboard is available on iOS and tvOS.,La classificació de Game Center està disponible a iOS i tvOS.,In-app,Game Center leaderboard is available on iOS and tvOS.,,needs_review,
Game Center leaderboard is not available on this device.,La classificació de Game Center no ha estat disponible en este dispositiu.,In-app,Game Center leaderboard is not available on this device.,,needs_review,
Opens app rating prompt,Obre la sol·licitud de valoració,In-app,Opens app rating prompt,,needs_review,
Screenshot capture ready,Captura de pantalla preparada,In-app,Screenshot capture ready,,needs_review,
Shows Game Center leaderboard,Mostra la classificació de Game Center,In-app,Shows Game Center leaderboard,,needs_review,
Sign in to Game Center to view the leaderboard.,Inicia la sessió a Game Center per veure la classificació.,In-app,Sign in to Game Center to view the leaderboard.,,needs_review,
Starts the game,Inicia la partida,In-app,Starts the game,,needs_review,
Also Supporting,També donem suport a,In-app,about_also_supporting_header,,needs_review,
"10% of proceeds go to AMMEC, an association that promotes autonomy and social integration for people with physical disabilities, supporting families and fostering community.","El 10% dels ingressos es destinen a AMMEC, una associació que promou l'autonomia i la integració social de persones amb discapacitats físiques, donant suport a les famílies i fomentant la comunitat.",In-app,about_ammec_footer,,needs_review,
AMMEC,AMMEC,In-app,about_ammec_title,,needs_review,
"App information, tips, and help","Informació de l’app, consells i ajuda",In-app,about_app_subtitle,,needs_review,
RetroRapid!,RetroRapid!,In-app,about_app_title,,needs_review,
For being the coolest conference,Per ser la conferència més guai,In-app,about_arcticonference_subtitle,,needs_review,
ARCtic Conference,ARCtic Conference,In-app,about_arcticonference_title,,needs_review,
Let's connect!,Connectem!,In-app,about_connect_header,,needs_review,
Credits,Crèdits,In-app,about_credits_header,,needs_review,
Licensed under the SIL Open Font License 1.1,Sota llicència SIL Open Font License 1.1,In-app,about_font_license,,needs_review,
Press Start 2P,Press Start 2P,In-app,about_font_press_start,,needs_review,
"Oulu, Finland","Oulu, Finlàndia",In-app,about_footer_location,,needs_review,
Released with love ❤️ from ARCtic,Alliberat amb estima ❤️ des d’ARCtic,In-app,about_footer_love,,needs_review,
Thanks to everyone that played the game and encouraged me to push the button.,Gràcies a tothom qui ha jugat i m’ha animat a prémer el botó.,In-app,about_footer_thanks,,needs_review,
Giving Back,Donar en torn,In-app,about_giving_back_header,,needs_review,
A native app for managing App Store Connect,Una aplicació nativa per a gestionar App Store Connect,In-app,about_helm_subtitle,,needs_review,
Shipped with Helm!,Shipped with Helm!,In-app,about_helm_title,,needs_review,
Accessibility up to 11!,Accessibility up to 11!,In-app,about_link_blog,,needs_review,
BlueSky,BlueSky,In-app,about_link_bluesky,,needs_review,
LinkedIn,LinkedIn,In-app,about_link_linkedin,,needs_review,
Mastodon,Mastodon,In-app,about_link_mastodon,,needs_review,
X (Twitter),X (Twitter),In-app,about_link_twitter,,needs_review,
Opens the App Store review page,Obri la pàgina de ressenyes de l’App Store,In-app,about_rate_hint,,needs_review,
Rate RetroRapid!,Valora RetroRapid!,In-app,about_rate_title,,needs_review,
Swift for Swifts,Swift for Swifts,In-app,about_swift_for_swifts_title,,needs_review,
About,Quant a,In-app,about_title,,needs_review,
You completed a run using Digital Crown controls.,Has completat una partida usant la Corona Digital.,In-app,achievement_achieved_control_crown,,needs_review,
You completed a run using Game Controller controls.,Has completat una partida usant un comandament.,In-app,achievement_achieved_control_gamecontroller,,needs_review,
You completed a run using Keyboard controls.,Has completat una partida usant el teclat.,In-app,achievement_achieved_control_keyboard,,needs_review,
You completed a run using Swipe controls.,Has completat una partida usant els controls lliscants.,In-app,achievement_achieved_control_swipe,,needs_review,
You completed a run using Tap controls.,Has completat una partida usant els controls tàctils.,In-app,achievement_achieved_control_tap,,needs_review,
You completed a run using VoiceOver controls.,Has completat una partida usant el VoiceOver.,In-app,achievement_achieved_control_voiceover,,needs_review,
You completed a run during GAAD week using assistive technology.,Has completat una partida durant la setmana de GAAD usant una tecnologia d'assistència.,In-app,achievement_achieved_event_gaad,,needs_review,
You overtook %@ cars in one run.,Has avançat %@ cotxes en una sola partida.,In-app,achievement_achieved_run_overtakes %@,,needs_review,
You overtook %@ cars in total.,Has avançat %@ cotxes en total.,In-app,achievement_achieved_total_overtakes %@,,needs_review,
