English source,Translation,Layer,Identifier,Limits,State,Reviewer notes
,,In-app,,,source,
%1$@%2$@,%1$@%2$@,In-app,%@%@,,new,
%1$@%2$@%3$@,%1$@%2$@%3$@,In-app,%@%@%@,,new,
%lld,%lld,In-app,%lld,,source,
%lld life remaining,%lld life remaining,In-app,%lld life remaining,,translated,
%lld lives remaining,%lld lives remaining,In-app,%lld lives remaining,,translated,
0%,0%,In-app,0%,,translated,
100%,100%,In-app,100%,,translated,
Close,Close,In-app,Close,,translated,
Game Center is unavailable for this account.,Game Center is unavailable for this account.,In-app,Game Center is unavailable for this account.,,translated,
Game Center leaderboard is available on iOS and tvOS.,Game Center leaderboard is available on iOS and tvOS.,In-app,Game Center leaderboard is available on iOS and tvOS.,,translated,
Game Center leaderboard is not available on this device.,Game Center leaderboard is not available on this device.,In-app,Game Center leaderboard is not available on this device.,,translated,
Opens app rating prompt,Opens app rating prompt,In-app,Opens app rating prompt,,translated,
Screenshot capture ready,Screenshot capture ready,In-app,Screenshot capture ready,,translated,
Shows Game Center leaderboard,Shows Game Center leaderboard,In-app,Shows Game Center leaderboard,,translated,
Sign in to Game Center to view the leaderboard.,Sign in to Game Center to view the leaderboard.,In-app,Sign in to Game Center to view the leaderboard.,,translated,
Starts the game,Starts the game,In-app,Starts the game,,translated,
Also Supporting,Also Supporting,In-app,about_also_supporting_header,,translated,
"10% of proceeds go to AMMEC, an association that promotes autonomy and social integration for people with physical disabilities, supporting families and fostering community.","10% of proceeds go to AMMEC, an association that promotes autonomy and social integration for people with physical disabilities, supporting families and fostering community.",In-app,about_ammec_footer,,translated,
AMMEC,AMMEC,In-app,about_ammec_title,,translated,
"App information, tips, and help","App information, tips, and help",In-app,about_app_subtitle,,translated,
RetroRapid!,RetroRapid!,In-app,about_app_title,,translated,
For being the coolest conference,For being the coolest conference,In-app,about_arcticonference_subtitle,,translated,
ARCtic Conference,ARCtic Conference,In-app,about_arcticonference_title,,translated,
Let's connect!,Let's connect!,In-app,about_connect_header,,translated,
Credits,Credits,In-app,about_credits_header,,translated,
Licensed under the SIL Open Font License 1.1,Licensed under the SIL Open Font License 1.1,In-app,about_font_license,,translated,
Press Start 2P,Press Start 2P,In-app,about_font_press_start,,translated,
"Oulu, Finland","Oulu, Finland",In-app,about_footer_location,,translated,
Released with love ❤️ from ARCtic,Released with love ❤️ from ARCtic,In-app,about_footer_love,,translated,
Thanks to everyone that played the game and encouraged me to push the button.,Thanks to everyone that played the game and encouraged me to push the button.,In-app,about_footer_thanks,,translated,
Giving Back,Giving Back,In-app,about_giving_back_header,,translated,
A native app for managing App Store Connect,A native app for managing App Store Connect,In-app,about_helm_subtitle,,translated,
Shipped with Helm!,Shipped with Helm!,In-app,about_helm_title,,translated,
Accessibility up to 11!,Accessibility up to 11!,In-app,about_link_blog,,translated,
BlueSky,BlueSky,In-app,about_link_bluesky,,translated,
LinkedIn,LinkedIn,In-app,about_link_linkedin,,translated,
Mastodon,Mastodon,In-app,about_link_mastodon,,translated,
X (Twitter),X (Twitter),In-app,about_link_twitter,,translated,
Opens the App Store review page,Opens the App Store review page,In-app,about_rate_hint,,translated,
Rate RetroRapid!,Rate RetroRapid!,In-app,about_rate_title,,translated,
Swift for Swifts,Swift for Swifts,In-app,about_swift_for_swifts_title,,translated,
About,About,In-app,about_title,,translated,
You completed a run using Digital Crown controls.,You completed a run using Digital Crown controls.,In-app,achievement_achieved_control_crown,,translated,
You completed a run using Game Controller controls.,You completed a run using Game Controller controls.,In-app,achievement_achieved_control_gamecontroller,,translated,
You completed a run using Keyboard controls.,You completed a run using Keyboard controls.,In-app,achievement_achieved_control_keyboard,,translated,
You completed a run using Swipe controls.,You completed a run using Swipe controls.,In-app,achievement_achieved_control_swipe,,translated,
You completed a run using Tap controls.,You completed a run using Tap controls.,In-app,achievement_achieved_control_tap,,translated,
