English source,Translation,Layer,Identifier,Limits,State,Reviewer notes
,,In-app,,,needs_review,
%1$@%2$@,%1$@%2$@,In-app,%@%@,,needs_review,
%1$@%2$@%3$@,%1$@%2$@%3$@,In-app,%@%@%@,,needs_review,
%lld,%lld,In-app,%lld,,needs_review,
%lld life remaining,%lld vida restante,In-app,%lld life remaining,,needs_review,
%lld lives remaining,%lld vidas restantes,In-app,%lld lives remaining,,needs_review,
0%,0%,In-app,0%,,needs_review,
100%,100%,In-app,100%,,needs_review,
Close,Cerrar,In-app,Close,,needs_review,
Game Center is unavailable for this account.,Game Center no ha estado disponible para esta cuenta.,In-app,Game Center is unavailable for this account.,,needs_review,
Game Center leaderboard is available on iOS and tvOS.,La clasificación de Game Center está disponible en iOS y tvOS.,In-app,Game Center leaderboard is available on iOS and tvOS.,,needs_review,
Game Center leaderboard is not available on this device.,La clasificación de Game Center no ha estado disponible en este dispositivo.,In-app,Game Center leaderboard is not available on this device.,,needs_review,
Opens app rating prompt,Abre la solicitud de valoración,In-app,Opens app rating prompt,,needs_review,
Screenshot capture ready,Captura de pantalla lista,In-app,Screenshot capture ready,,needs_review,
Shows Game Center leaderboard,Muestra la clasificación de Game Center,In-app,Shows Game Center leaderboard,,needs_review,
Sign in to Game Center to view the leaderboard.,Inicia sesión en Game Center para ver la clasificación.,In-app,Sign in to Game Center to view the leaderboard.,,needs_review,
Starts the game,Inicia la partida,In-app,Starts the game,,needs_review,
Also Supporting,También apoyamos,In-app,about_also_supporting_header,,needs_review,
"10% of proceeds go to AMMEC, an association that promotes autonomy and social integration for people with physical disabilities, supporting families and fostering community.","El 10% de los ingresos se destinan a AMMEC, una asociación que promueve la autonomía e integración social de personas con discapacidades físicas, apoyando a las familias y fomentando la comunidad.",In-app,about_ammec_footer,,needs_review,
AMMEC,AMMEC,In-app,about_ammec_title,,needs_review,
"App information, tips, and help","Información de la app, consejos y ayuda",In-app,about_app_subtitle,,needs_review,
RetroRapid!,RetroRapid!,In-app,about_app_title,,needs_review,
For being the coolest conference,Por ser la conferencia más genial,In-app,about_arcticonference_subtitle,,needs_review,
ARCtic Conference,ARCtic Conference,In-app,about_arcticonference_title,,needs_review,
Let's connect!,¡Conectemos!,In-app,about_connect_header,,needs_review,
Credits,Créditos,In-app,about_credits_header,,needs_review,
Licensed under the SIL Open Font License 1.1,Bajo licencia SIL Open Font License 1.1,In-app,about_font_license,,needs_review,
Press Start 2P,Press Start 2P,In-app,about_font_press_start,,needs_review,
"Oulu, Finland","Oulu, Finlandia",In-app,about_footer_location,,needs_review,
Released with love ❤️ from ARCtic,Hecho con cariño ❤️ desde ARCtic,In-app,about_footer_love,,needs_review,
Thanks to everyone that played the game and encouraged me to push the button.,Gracias a todos los que habéis jugado y me habéis animado a pulsar el botón.,In-app,about_footer_thanks,,needs_review,
Giving Back,Devolver,In-app,about_giving_back_header,,needs_review,
A native app for managing App Store Connect,Una aplicación nativa para gestionar App Store Connect,In-app,about_helm_subtitle,,needs_review,
Shipped with Helm!,Shipped with Helm!,In-app,about_helm_title,,needs_review,
Accessibility up to 11!,Accessibility up to 11!,In-app,about_link_blog,,needs_review,
BlueSky,BlueSky,In-app,about_link_bluesky,,needs_review,
LinkedIn,LinkedIn,In-app,about_link_linkedin,,needs_review,
Mastodon,Mastodon,In-app,about_link_mastodon,,needs_review,
X (Twitter),X (Twitter),In-app,about_link_twitter,,needs_review,
Opens the App Store review page,Abre la página de reseñas de App Store,In-app,about_rate_hint,,needs_review,
Rate RetroRapid!,Valora RetroRapid!,In-app,about_rate_title,,needs_review,
Swift for Swifts,Swift for Swifts,In-app,about_swift_for_swifts_title,,needs_review,
About,Acerca de,In-app,about_title,,needs_review,
You completed a run using Digital Crown controls.,Has completado una partida usando la Corona Digital.,In-app,achievement_achieved_control_crown,,needs_review,
You completed a run using Game Controller controls.,Has completado una partida usando un mando.,In-app,achievement_achieved_control_gamecontroller,,needs_review,
You completed a run using Keyboard controls.,Has completado una partida usando el teclado.,In-app,achievement_achieved_control_keyboard,,needs_review,
You completed a run using Swipe controls.,Has completado una partida usando los controles deslizantes.,In-app,achievement_achieved_control_swipe,,needs_review,
You completed a run using Tap controls.,Has completado una partida usando los controles táctiles.,In-app,achievement_achieved_control_tap,,needs_review,
You completed a run using VoiceOver controls.,Has completado una partida usando VoiceOver.,In-app,achievement_achieved_control_voiceover,,needs_review,
You completed a run during GAAD week using assistive technology.,Has completado una partida durante la semana de GAAD usando una tecnología de asistencia.,In-app,achievement_achieved_event_gaad,,needs_review,
You overtook %@ cars in one run.,Has adelantado %@ coches en una sola partida.,In-app,achievement_achieved_run_overtakes %@,,needs_review,
You overtook %@ cars in total.,Has adelantado %@ coches en total.,In-app,achievement_achieved_total_overtakes %@,,needs_review,
