English source,Translation,Layer,Identifier,Limits,State,Reviewer notes
,,In-app,,,needs_review,
%1$@%2$@,%1$@%2$@,In-app,%@%@,,needs_review,
%1$@%2$@%3$@,%1$@%2$@%3$@,In-app,%@%@%@,,needs_review,
%lld,%lld,In-app,%lld,,needs_review,
%lld life remaining,%lld vie restante,In-app,%lld life remaining,,needs_review,
%lld lives remaining,%lld vies restantes,In-app,%lld lives remaining,,needs_review,
0%,0%,In-app,0%,,needs_review,
100%,100%,In-app,100%,,needs_review,
Close,Fermer,In-app,Close,,needs_review,
Game Center is unavailable for this account.,Game Center n'est pas disponible pour ce compte.,In-app,Game Center is unavailable for this account.,,needs_review,
Game Center leaderboard is available on iOS and tvOS.,Le classement Game Center est disponible sur iOS et tvOS.,In-app,Game Center leaderboard is available on iOS and tvOS.,,needs_review,
Game Center leaderboard is not available on this device.,Le classement Game Center n'est pas disponible sur cet appareil.,In-app,Game Center leaderboard is not available on this device.,,needs_review,
Opens app rating prompt,Ouvre l'invite d'évaluation de l'app,In-app,Opens app rating prompt,,needs_review,
Screenshot capture ready,Capture d'écran prête,In-app,Screenshot capture ready,,needs_review,
Shows Game Center leaderboard,Affiche le classement Game Center,In-app,Shows Game Center leaderboard,,needs_review,
Sign in to Game Center to view the leaderboard.,Connectez-vous à Game Center pour voir le classement.,In-app,Sign in to Game Center to view the leaderboard.,,needs_review,
Starts the game,Lance la partie,In-app,Starts the game,,needs_review,
Also Supporting,Nous soutenons aussi,In-app,about_also_supporting_header,,needs_review,
"10% of proceeds go to AMMEC, an association that promotes autonomy and social integration for people with physical disabilities, supporting families and fostering community.","10 % des recettes vont à AMMEC, une association qui promeut l'autonomie et l'intégration sociale des personnes en situation de handicap physique, en soutenant les familles et en renforçant la communauté.",In-app,about_ammec_footer,,needs_review,
AMMEC,AMMEC,In-app,about_ammec_title,,needs_review,
"App information, tips, and help","Infos sur l'app, astuces et aide",In-app,about_app_subtitle,,needs_review,
RetroRapid!,RetroRapid!,In-app,about_app_title,,needs_review,
For being the coolest conference,Pour la conférence la plus cool,In-app,about_arcticonference_subtitle,,needs_review,
ARCtic Conference,ARCtic Conference,In-app,about_arcticonference_title,,needs_review,
Let's connect!,Restons en contact !,In-app,about_connect_header,,needs_review,
Credits,Crédits,In-app,about_credits_header,,needs_review,
Licensed under the SIL Open Font License 1.1,Sous licence SIL Open Font License 1.1,In-app,about_font_license,,needs_review,
Press Start 2P,Press Start 2P,In-app,about_font_press_start,,needs_review,
"Oulu, Finland","Oulu, Finlande",In-app,about_footer_location,,needs_review,
Released with love ❤️ from ARCtic,Publié avec amour ❤️ depuis ARCtic,In-app,about_footer_love,,needs_review,
Thanks to everyone that played the game and encouraged me to push the button.,Merci à tous ceux qui ont joué et m'ont encouragé à appuyer sur le bouton.,In-app,about_footer_thanks,,needs_review,
Giving Back,Redonner,In-app,about_giving_back_header,,needs_review,
A native app for managing App Store Connect,Une app native pour gérer App Store Connect,In-app,about_helm_subtitle,,needs_review,
Shipped with Helm!,Shipped with Helm!,In-app,about_helm_title,,needs_review,
Accessibility up to 11!,Accessibility up to 11!,In-app,about_link_blog,,needs_review,
BlueSky,BlueSky,In-app,about_link_bluesky,,needs_review,
LinkedIn,LinkedIn,In-app,about_link_linkedin,,needs_review,
Mastodon,Mastodon,In-app,about_link_mastodon,,needs_review,
X (Twitter),X (Twitter),In-app,about_link_twitter,,needs_review,
Opens the App Store review page,Ouvre la page d'évaluation sur l'App Store,In-app,about_rate_hint,,needs_review,
Rate RetroRapid!,Note RetroRapid !,In-app,about_rate_title,,needs_review,
Swift for Swifts,Swift for Swifts,In-app,about_swift_for_swifts_title,,needs_review,
About,À propos,In-app,about_title,,needs_review,
You completed a run using Digital Crown controls.,Vous avez terminé une partie avec la Digital Crown.,In-app,achievement_achieved_control_crown,,needs_review,
You completed a run using Game Controller controls.,Vous avez terminé une partie avec une manette.,In-app,achievement_achieved_control_gamecontroller,,needs_review,
You completed a run using Keyboard controls.,Vous avez terminé une partie avec le clavier.,In-app,achievement_achieved_control_keyboard,,needs_review,
You completed a run using Swipe controls.,Vous avez terminé une partie avec les commandes glisser.,In-app,achievement_achieved_control_swipe,,needs_review,
You completed a run using Tap controls.,Vous avez terminé une partie avec les commandes tactiles.,In-app,achievement_achieved_control_tap,,needs_review,
You completed a run using VoiceOver controls.,Vous avez terminé une partie avec VoiceOver.,In-app,achievement_achieved_control_voiceover,,needs_review,
You completed a run during GAAD week using assistive technology.,Vous avez terminé une partie pendant la semaine GAAD avec une technologie d'assistance.,In-app,achievement_achieved_event_gaad,,needs_review,
You overtook %@ cars in one run.,Vous avez dépassé %@ voitures en une partie.,In-app,achievement_achieved_run_overtakes %@,,needs_review,
