English source,Translation,Layer,Identifier,Limits,State,Reviewer notes
,,In-app,,,needs_review,
%1$@%2$@,%1$@%2$@,In-app,%@%@,,needs_review,
%1$@%2$@%3$@,%1$@%2$@%3$@,In-app,%@%@%@,,needs_review,
%lld,%lld,In-app,%lld,,needs_review,
%lld life remaining,%lld vita rimasta,In-app,%lld life remaining,,needs_review,
%lld lives remaining,%lld vite rimaste,In-app,%lld lives remaining,,needs_review,
0%,0%,In-app,0%,,needs_review,
100%,100%,In-app,100%,,needs_review,
Close,Chiudi,In-app,Close,,needs_review,
Game Center is unavailable for this account.,Game Center non è disponibile per questo account.,In-app,Game Center is unavailable for this account.,,needs_review,
Game Center leaderboard is available on iOS and tvOS.,La classifica di Game Center è disponibile su iOS e tvOS.,In-app,Game Center leaderboard is available on iOS and tvOS.,,needs_review,
Game Center leaderboard is not available on this device.,La classifica di Game Center non è disponibile su questo dispositivo.,In-app,Game Center leaderboard is not available on this device.,,needs_review,
Opens app rating prompt,Apre la richiesta di valutazione dell'app,In-app,Opens app rating prompt,,needs_review,
Screenshot capture ready,Cattura screenshot pronta,In-app,Screenshot capture ready,,needs_review,
Shows Game Center leaderboard,Mostra la classifica di Game Center,In-app,Shows Game Center leaderboard,,needs_review,
Sign in to Game Center to view the leaderboard.,Accedi a Game Center per vedere la classifica.,In-app,Sign in to Game Center to view the leaderboard.,,needs_review,
Starts the game,Avvia la partita,In-app,Starts the game,,needs_review,
Also Supporting,Sosteniamo anche,In-app,about_also_supporting_header,,needs_review,
"10% of proceeds go to AMMEC, an association that promotes autonomy and social integration for people with physical disabilities, supporting families and fostering community.","Il 10% dei ricavi va ad AMMEC, un'associazione che promuove l'autonomia e l'integrazione sociale delle persone con disabilità fisiche, sostenendo le famiglie e favorendo la comunità.",In-app,about_ammec_footer,,needs_review,
AMMEC,AMMEC,In-app,about_ammec_title,,needs_review,
"App information, tips, and help","Info sull'app, consigli e aiuto",In-app,about_app_subtitle,,needs_review,
RetroRapid!,RetroRapid!,In-app,about_app_title,,needs_review,
For being the coolest conference,Per la conferenza più imperdibile,In-app,about_arcticonference_subtitle,,needs_review,
ARCtic Conference,ARCtic Conference,In-app,about_arcticonference_title,,needs_review,
Let's connect!,Restiamo in contatto!,In-app,about_connect_header,,needs_review,
Credits,Crediti,In-app,about_credits_header,,needs_review,
Licensed under the SIL Open Font License 1.1,Con licenza SIL Open Font License 1.1,In-app,about_font_license,,needs_review,
Press Start 2P,Press Start 2P,In-app,about_font_press_start,,needs_review,
"Oulu, Finland","Oulu, Finlandia",In-app,about_footer_location,,needs_review,
Released with love ❤️ from ARCtic,Pubblicato con amore ❤️ da ARCtic,In-app,about_footer_love,,needs_review,
Thanks to everyone that played the game and encouraged me to push the button.,Grazie a tutti quelli che hanno giocato e mi hanno incoraggiato a premere il pulsante.,In-app,about_footer_thanks,,needs_review,
Giving Back,Restituire,In-app,about_giving_back_header,,needs_review,
A native app for managing App Store Connect,Un'app nativa per gestire App Store Connect,In-app,about_helm_subtitle,,needs_review,
Shipped with Helm!,Shipped with Helm!,In-app,about_helm_title,,needs_review,
Accessibility up to 11!,Accessibility up to 11!,In-app,about_link_blog,,needs_review,
BlueSky,BlueSky,In-app,about_link_bluesky,,needs_review,
LinkedIn,LinkedIn,In-app,about_link_linkedin,,needs_review,
Mastodon,Mastodon,In-app,about_link_mastodon,,needs_review,
X (Twitter),X (Twitter),In-app,about_link_twitter,,needs_review,
Opens the App Store review page,Apre la pagina delle recensioni sull'App Store,In-app,about_rate_hint,,needs_review,
Rate RetroRapid!,Valuta RetroRapid!,In-app,about_rate_title,,needs_review,
Swift for Swifts,Swift for Swifts,In-app,about_swift_for_swifts_title,,needs_review,
About,Info,In-app,about_title,,needs_review,
You completed a run using Digital Crown controls.,Hai completato una partita con la Digital Crown.,In-app,achievement_achieved_control_crown,,needs_review,
You completed a run using Game Controller controls.,Hai completato una partita con il gamepad.,In-app,achievement_achieved_control_gamecontroller,,needs_review,
You completed a run using Keyboard controls.,Hai completato una partita con la tastiera.,In-app,achievement_achieved_control_keyboard,,needs_review,
You completed a run using Swipe controls.,Hai completato una partita con i controlli swipe.,In-app,achievement_achieved_control_swipe,,needs_review,
You completed a run using Tap controls.,Hai completato una partita con i controlli tocco.,In-app,achievement_achieved_control_tap,,needs_review,
You completed a run using VoiceOver controls.,Hai completato una partita con VoiceOver.,In-app,achievement_achieved_control_voiceover,,needs_review,
You completed a run during GAAD week using assistive technology.,Hai completato una partita durante la GAAD Week usando una tecnologia assistiva.,In-app,achievement_achieved_event_gaad,,needs_review,
You overtook %@ cars in one run.,Hai sorpassato %@ auto in una partita.,In-app,achievement_achieved_run_overtakes %@,,needs_review,
