English source,Translation,Layer,Identifier,Limits,State,Reviewer notes
,,In-app,,,needs_review,
%1$@%2$@,%1$@%2$@,In-app,%@%@,,needs_review,
%1$@%2$@%3$@,%1$@%2$@%3$@,In-app,%@%@%@,,needs_review,
%lld,%lld,In-app,%lld,,needs_review,
%lld life remaining,残りライフ %lld,In-app,%lld life remaining,,needs_review,
%lld lives remaining,残りライフ %lld,In-app,%lld lives remaining,,needs_review,
0%,0%,In-app,0%,,needs_review,
100%,100%,In-app,100%,,needs_review,
Close,閉じる,In-app,Close,,needs_review,
Game Center is unavailable for this account.,このアカウントではGame Centerを利用できません。,In-app,Game Center is unavailable for this account.,,needs_review,
Game Center leaderboard is available on iOS and tvOS.,Game CenterリーダーボードはiOSとtvOSで利用できます。,In-app,Game Center leaderboard is available on iOS and tvOS.,,needs_review,
Game Center leaderboard is not available on this device.,このデバイスではGame Centerリーダーボードを利用できません。,In-app,Game Center leaderboard is not available on this device.,,needs_review,
Opens app rating prompt,App Storeの評価画面を開きます,In-app,Opens app rating prompt,,needs_review,
Screenshot capture ready,スクリーンショット撮影の準備完了,In-app,Screenshot capture ready,,needs_review,
Shows Game Center leaderboard,Game Centerリーダーボードを表示,In-app,Shows Game Center leaderboard,,needs_review,
Sign in to Game Center to view the leaderboard.,リーダーボードを見るにはGame Centerにサインインしてください。,In-app,Sign in to Game Center to view the leaderboard.,,needs_review,
Starts the game,ゲームを開始,In-app,Starts the game,,needs_review,
Also Supporting,こちらも支援,In-app,about_also_supporting_header,,needs_review,
"10% of proceeds go to AMMEC, an association that promotes autonomy and social integration for people with physical disabilities, supporting families and fostering community.",収益の10%はAMMECに寄付されます。AMMECは、身体障害のある方の自立と社会参加を支援し、家族とコミュニティを支える団体です。,In-app,about_ammec_footer,,needs_review,
AMMEC,AMMEC,In-app,about_ammec_title,,needs_review,
"App information, tips, and help",アプリ情報、ヒント、ヘルプ,In-app,about_app_subtitle,,needs_review,
RetroRapid!,RetroRapid!,In-app,about_app_title,,needs_review,
For being the coolest conference,最高にクールなカンファレンスのために,In-app,about_arcticonference_subtitle,,needs_review,
ARCtic Conference,ARCtic Conference,In-app,about_arcticonference_title,,needs_review,
Let's connect!,つながろう！,In-app,about_connect_header,,needs_review,
Credits,クレジット,In-app,about_credits_header,,needs_review,
Licensed under the SIL Open Font License 1.1,SIL Open Font License 1.1 の下でライセンス,In-app,about_font_license,,needs_review,
Press Start 2P,Press Start 2P,In-app,about_font_press_start,,needs_review,
"Oulu, Finland",フィンランド・オウル,In-app,about_footer_location,,needs_review,
Released with love ❤️ from ARCtic,ARCticから愛を込めて ❤️,In-app,about_footer_love,,needs_review,
Thanks to everyone that played the game and encouraged me to push the button.,プレイしてくれた皆さん、ボタンを押す勇気をくれてありがとう。,In-app,about_footer_thanks,,needs_review,
Giving Back,還元,In-app,about_giving_back_header,,needs_review,
A native app for managing App Store Connect,App Store Connectを管理するネイティブアプリ,In-app,about_helm_subtitle,,needs_review,
Shipped with Helm!,Shipped with Helm!,In-app,about_helm_title,,needs_review,
Accessibility up to 11!,Accessibility up to 11!,In-app,about_link_blog,,needs_review,
BlueSky,BlueSky,In-app,about_link_bluesky,,needs_review,
LinkedIn,LinkedIn,In-app,about_link_linkedin,,needs_review,
Mastodon,Mastodon,In-app,about_link_mastodon,,needs_review,
X (Twitter),X (Twitter),In-app,about_link_twitter,,needs_review,
Opens the App Store review page,App Storeのレビューページを開きます,In-app,about_rate_hint,,needs_review,
Rate RetroRapid!,RetroRapid!を評価,In-app,about_rate_title,,needs_review,
Swift for Swifts,Swift for Swifts,In-app,about_swift_for_swifts_title,,needs_review,
About,このアプリについて,In-app,about_title,,needs_review,
You completed a run using Digital Crown controls.,Digital Crown操作で1ラン完走しました。,In-app,achievement_achieved_control_crown,,needs_review,
You completed a run using Game Controller controls.,ゲームコントローラー操作で1ラン完走しました。,In-app,achievement_achieved_control_gamecontroller,,needs_review,
You completed a run using Keyboard controls.,キーボード操作で1ラン完走しました。,In-app,achievement_achieved_control_keyboard,,needs_review,
You completed a run using Swipe controls.,スワイプ操作で1ラン完走しました。,In-app,achievement_achieved_control_swipe,,needs_review,
You completed a run using Tap controls.,タップ操作で1ラン完走しました。,In-app,achievement_achieved_control_tap,,needs_review,
You completed a run using VoiceOver controls.,VoiceOver操作で1ラン完走しました。,In-app,achievement_achieved_control_voiceover,,needs_review,
You completed a run during GAAD week using assistive technology.,GAADウィーク中に支援技術を使って1ラン完走しました。,In-app,achievement_achieved_event_gaad,,needs_review,
You overtook %@ cars in one run.,1ランで%@台追い抜きました。,In-app,achievement_achieved_run_overtakes %@,,needs_review,
You overtook %@ cars in total.,合計%@台追い抜きました。,In-app,achievement_achieved_total_overtakes %@,,needs_review,
