English source,Translation,Layer,Identifier,Limits,State,Reviewer notes
,,In-app,,,needs_review,
%1$@%2$@,%1$@%2$@,In-app,%@%@,,needs_review,
%1$@%2$@%3$@,%1$@%2$@%3$@,In-app,%@%@%@,,needs_review,
%lld,%lld,In-app,%lld,,needs_review,
%lld life remaining,남은 목숨 %lld,In-app,%lld life remaining,,needs_review,
%lld lives remaining,남은 목숨 %lld,In-app,%lld lives remaining,,needs_review,
0%,0%,In-app,0%,,needs_review,
100%,100%,In-app,100%,,needs_review,
Close,닫기,In-app,Close,,needs_review,
Game Center is unavailable for this account.,이 계정에서는 Game Center를 사용할 수 없어요.,In-app,Game Center is unavailable for this account.,,needs_review,
Game Center leaderboard is available on iOS and tvOS.,Game Center 리더보드는 iOS와 tvOS에서 사용할 수 있어요.,In-app,Game Center leaderboard is available on iOS and tvOS.,,needs_review,
Game Center leaderboard is not available on this device.,이 기기에서는 Game Center 리더보드를 사용할 수 없어요.,In-app,Game Center leaderboard is not available on this device.,,needs_review,
Opens app rating prompt,앱 평가 창을 엽니다,In-app,Opens app rating prompt,,needs_review,
Screenshot capture ready,스크린샷 촬영 준비 완료,In-app,Screenshot capture ready,,needs_review,
Shows Game Center leaderboard,Game Center 리더보드를 표시합니다,In-app,Shows Game Center leaderboard,,needs_review,
Sign in to Game Center to view the leaderboard.,리더보드를 보려면 Game Center에 로그인하세요.,In-app,Sign in to Game Center to view the leaderboard.,,needs_review,
Starts the game,게임을 시작합니다,In-app,Starts the game,,needs_review,
Also Supporting,함께 후원,In-app,about_also_supporting_header,,needs_review,
"10% of proceeds go to AMMEC, an association that promotes autonomy and social integration for people with physical disabilities, supporting families and fostering community.","수익의 10%는 AMMEC에 기부됩니다. AMMEC는 신체 장애가 있는 분들의 자립과 사회 통합, 가족과 지역사회를 지원하는 단체예요.",In-app,about_ammec_footer,,needs_review,
AMMEC,AMMEC,In-app,about_ammec_title,,needs_review,
"App information, tips, and help","앱 정보, 팁, 도움말",In-app,about_app_subtitle,,needs_review,
RetroRapid!,RetroRapid!,In-app,about_app_title,,needs_review,
For being the coolest conference,가장 멋진 컨퍼런스를 위해,In-app,about_arcticonference_subtitle,,needs_review,
ARCtic Conference,ARCtic Conference,In-app,about_arcticonference_title,,needs_review,
Let's connect!,함께해요!,In-app,about_connect_header,,needs_review,
Credits,크레딧,In-app,about_credits_header,,needs_review,
Licensed under the SIL Open Font License 1.1,SIL Open Font License 1.1 하에 라이선스,In-app,about_font_license,,needs_review,
Press Start 2P,Press Start 2P,In-app,about_font_press_start,,needs_review,
"Oulu, Finland",핀란드 오ulu,In-app,about_footer_location,,needs_review,
Released with love ❤️ from ARCtic,ARCtic에서 사랑을 담아 ❤️,In-app,about_footer_love,,needs_review,
Thanks to everyone that played the game and encouraged me to push the button.,게임을 즐겨 주고 버튼을 누르도록 격려해 준 모든 분께 감사합니다.,In-app,about_footer_thanks,,needs_review,
Giving Back,기부,In-app,about_giving_back_header,,needs_review,
A native app for managing App Store Connect,App Store Connect를 관리하는 네이티브 앱,In-app,about_helm_subtitle,,needs_review,
Shipped with Helm!,Shipped with Helm!,In-app,about_helm_title,,needs_review,
Accessibility up to 11!,Accessibility up to 11!,In-app,about_link_blog,,needs_review,
BlueSky,BlueSky,In-app,about_link_bluesky,,needs_review,
LinkedIn,LinkedIn,In-app,about_link_linkedin,,needs_review,
Mastodon,Mastodon,In-app,about_link_mastodon,,needs_review,
X (Twitter),X (Twitter),In-app,about_link_twitter,,needs_review,
Opens the App Store review page,App Store 리뷰 페이지를 엽니다,In-app,about_rate_hint,,needs_review,
Rate RetroRapid!,RetroRapid! 평가하기,In-app,about_rate_title,,needs_review,
Swift for Swifts,Swift for Swifts,In-app,about_swift_for_swifts_title,,needs_review,
About,정보,In-app,about_title,,needs_review,
You completed a run using Digital Crown controls.,Digital Crown 조작으로 한 판을 완주했어요.,In-app,achievement_achieved_control_crown,,needs_review,
You completed a run using Game Controller controls.,게임 컨트롤러 조작으로 한 판을 완주했어요.,In-app,achievement_achieved_control_gamecontroller,,needs_review,
You completed a run using Keyboard controls.,키보드 조작으로 한 판을 완주했어요.,In-app,achievement_achieved_control_keyboard,,needs_review,
You completed a run using Swipe controls.,스와이프 조작으로 한 판을 완주했어요.,In-app,achievement_achieved_control_swipe,,needs_review,
You completed a run using Tap controls.,탭 조작으로 한 판을 완주했어요.,In-app,achievement_achieved_control_tap,,needs_review,
You completed a run using VoiceOver controls.,VoiceOver 조작으로 한 판을 완주했어요.,In-app,achievement_achieved_control_voiceover,,needs_review,
You completed a run during GAAD week using assistive technology.,GAAD 주간에 보조 기술을 사용해 한 판을 완주했어요.,In-app,achievement_achieved_event_gaad,,needs_review,
