English source,Translation,Layer,Identifier,Limits,State,Reviewer notes
,,In-app,,,needs_review,
%1$@%2$@,%1$@%2$@,In-app,%@%@,,needs_review,
%1$@%2$@%3$@,%1$@%2$@%3$@,In-app,%@%@%@,,needs_review,
%lld,%lld,In-app,%lld,,needs_review,
%lld life remaining,%lld leven over,In-app,%lld life remaining,,needs_review,
%lld lives remaining,%lld levens over,In-app,%lld lives remaining,,needs_review,
0%,0%,In-app,0%,,needs_review,
100%,100%,In-app,100%,,needs_review,
Close,Sluiten,In-app,Close,,needs_review,
Game Center is unavailable for this account.,Game Center is niet beschikbaar voor dit account.,In-app,Game Center is unavailable for this account.,,needs_review,
Game Center leaderboard is available on iOS and tvOS.,Het Game Center-klassement is beschikbaar op iOS en tvOS.,In-app,Game Center leaderboard is available on iOS and tvOS.,,needs_review,
Game Center leaderboard is not available on this device.,Het Game Center-klassement is niet beschikbaar op dit apparaat.,In-app,Game Center leaderboard is not available on this device.,,needs_review,
Opens app rating prompt,Opent de app-beoordelingsprompt,In-app,Opens app rating prompt,,needs_review,
Screenshot capture ready,Screenshotcapture gereed,In-app,Screenshot capture ready,,needs_review,
Shows Game Center leaderboard,Toont het Game Center-klassement,In-app,Shows Game Center leaderboard,,needs_review,
Sign in to Game Center to view the leaderboard.,Log in op Game Center om het klassement te bekijken.,In-app,Sign in to Game Center to view the leaderboard.,,needs_review,
Starts the game,Start het spel,In-app,Starts the game,,needs_review,
Also Supporting,Ook steunen we,In-app,about_also_supporting_header,,needs_review,
"10% of proceeds go to AMMEC, an association that promotes autonomy and social integration for people with physical disabilities, supporting families and fostering community.","10% van de opbrengsten gaat naar AMMEC, een vereniging die autonomie en sociale integratie voor mensen met een lichamelijke beperking bevordert, gezinnen ondersteunt en gemeenschap versterkt.",In-app,about_ammec_footer,,needs_review,
AMMEC,AMMEC,In-app,about_ammec_title,,needs_review,
"App information, tips, and help","App-info, tips en hulp",In-app,about_app_subtitle,,needs_review,
RetroRapid!,RetroRapid!,In-app,about_app_title,,needs_review,
For being the coolest conference,Voor de coolste conferentie,In-app,about_arcticonference_subtitle,,needs_review,
ARCtic Conference,ARCtic Conference,In-app,about_arcticonference_title,,needs_review,
Let's connect!,Laten we contact houden!,In-app,about_connect_header,,needs_review,
Credits,Credits,In-app,about_credits_header,,needs_review,
Licensed under the SIL Open Font License 1.1,Gelicentieerd onder de SIL Open Font License 1.1,In-app,about_font_license,,needs_review,
Press Start 2P,Press Start 2P,In-app,about_font_press_start,,needs_review,
"Oulu, Finland","Oulu, Finland",In-app,about_footer_location,,needs_review,
Released with love ❤️ from ARCtic,Uitgebracht met liefde ❤️ vanuit ARCtic,In-app,about_footer_love,,needs_review,
Thanks to everyone that played the game and encouraged me to push the button.,Bedankt aan iedereen die het spel heeft gespeeld en me heeft aangemoedigd om op de knop te drukken.,In-app,about_footer_thanks,,needs_review,
Giving Back,Teruggeven,In-app,about_giving_back_header,,needs_review,
A native app for managing App Store Connect,Een native app voor App Store Connect,In-app,about_helm_subtitle,,needs_review,
Shipped with Helm!,Shipped with Helm!,In-app,about_helm_title,,needs_review,
Accessibility up to 11!,Accessibility up to 11!,In-app,about_link_blog,,needs_review,
BlueSky,BlueSky,In-app,about_link_bluesky,,needs_review,
LinkedIn,LinkedIn,In-app,about_link_linkedin,,needs_review,
Mastodon,Mastodon,In-app,about_link_mastodon,,needs_review,
X (Twitter),X (Twitter),In-app,about_link_twitter,,needs_review,
Opens the App Store review page,Opent de App Store-beoordelingspagina,In-app,about_rate_hint,,needs_review,
Rate RetroRapid!,Beoordeel RetroRapid!,In-app,about_rate_title,,needs_review,
Swift for Swifts,Swift for Swifts,In-app,about_swift_for_swifts_title,,needs_review,
About,Over,In-app,about_title,,needs_review,
You completed a run using Digital Crown controls.,Je hebt een run voltooid met Digital Crown-besturing.,In-app,achievement_achieved_control_crown,,needs_review,
You completed a run using Game Controller controls.,Je hebt een run voltooid met gamecontrollerbesturing.,In-app,achievement_achieved_control_gamecontroller,,needs_review,
You completed a run using Keyboard controls.,Je hebt een run voltooid met toetsenbordbesturing.,In-app,achievement_achieved_control_keyboard,,needs_review,
You completed a run using Swipe controls.,Je hebt een run voltooid met veegbesturing.,In-app,achievement_achieved_control_swipe,,needs_review,
You completed a run using Tap controls.,Je hebt een run voltooid met tikbesturing.,In-app,achievement_achieved_control_tap,,needs_review,
You completed a run using VoiceOver controls.,Je hebt een run voltooid met VoiceOver-besturing.,In-app,achievement_achieved_control_voiceover,,needs_review,
You completed a run during GAAD week using assistive technology.,Je hebt tijdens GAAD Week een run voltooid met ondersteunende technologie.,In-app,achievement_achieved_event_gaad,,needs_review,
You overtook %@ cars in one run.,Je hebt %@ auto's ingehaald in één run.,In-app,achievement_achieved_run_overtakes %@,,needs_review,
