English source,Translation,Layer,Identifier,Limits,State,Reviewer notes
,,In-app,,,needs_review,
%1$@%2$@,%1$@%2$@,In-app,%@%@,,needs_review,
%1$@%2$@%3$@,%1$@%2$@%3$@,In-app,%@%@%@,,needs_review,
%lld,%lld,In-app,%lld,,needs_review,
%lld life remaining,Pozostało żyć: %lld,In-app,%lld life remaining,,needs_review,
%lld lives remaining,Pozostało żyć: %lld,In-app,%lld lives remaining,,needs_review,
0%,0%,In-app,0%,,needs_review,
100%,100%,In-app,100%,,needs_review,
Close,Zamknij,In-app,Close,,needs_review,
Game Center is unavailable for this account.,Game Center jest niedostępne dla tego konta.,In-app,Game Center is unavailable for this account.,,needs_review,
Game Center leaderboard is available on iOS and tvOS.,Ranking Game Center jest dostępny na iOS i tvOS.,In-app,Game Center leaderboard is available on iOS and tvOS.,,needs_review,
Game Center leaderboard is not available on this device.,Ranking Game Center jest niedostępny na tym urządzeniu.,In-app,Game Center leaderboard is not available on this device.,,needs_review,
Opens app rating prompt,Otwiera prośbę o ocenę aplikacji,In-app,Opens app rating prompt,,needs_review,
Screenshot capture ready,Gotowe do wykonania zrzutu ekranu,In-app,Screenshot capture ready,,needs_review,
Shows Game Center leaderboard,Pokazuje ranking Game Center,In-app,Shows Game Center leaderboard,,needs_review,
Sign in to Game Center to view the leaderboard.,"Zaloguj się do Game Center, aby zobaczyć ranking.",In-app,Sign in to Game Center to view the leaderboard.,,needs_review,
Starts the game,Rozpoczyna grę,In-app,Starts the game,,needs_review,
Also Supporting,Wspieramy również,In-app,about_also_supporting_header,,needs_review,
"10% of proceeds go to AMMEC, an association that promotes autonomy and social integration for people with physical disabilities, supporting families and fostering community.","10% przychodów trafia do AMMEC, stowarzyszenia wspierającego samodzielność i integrację społeczną osób z niepełnosprawnościami ruchowymi, ich rodziny oraz lokalną społeczność.",In-app,about_ammec_footer,,needs_review,
AMMEC,AMMEC,In-app,about_ammec_title,,needs_review,
"App information, tips, and help","Informacje o aplikacji, wskazówki i pomoc",In-app,about_app_subtitle,,needs_review,
RetroRapid!,RetroRapid!,In-app,about_app_title,,needs_review,
For being the coolest conference,Za bycie najfajniejszą konferencją,In-app,about_arcticonference_subtitle,,needs_review,
ARCtic Conference,ARCtic Conference,In-app,about_arcticonference_title,,needs_review,
Let's connect!,Bądźmy w kontakcie!,In-app,about_connect_header,,needs_review,
Credits,Twórcy,In-app,about_credits_header,,needs_review,
Licensed under the SIL Open Font License 1.1,Na licencji SIL Open Font License 1.1,In-app,about_font_license,,needs_review,
Press Start 2P,Press Start 2P,In-app,about_font_press_start,,needs_review,
"Oulu, Finland","Oulu, Finlandia",In-app,about_footer_location,,needs_review,
Released with love ❤️ from ARCtic,Wydano z miłością ❤️ z ARCtic,In-app,about_footer_love,,needs_review,
Thanks to everyone that played the game and encouraged me to push the button.,"Dziękuję wszystkim, którzy zagrali i zachęcili mnie do naciśnięcia przycisku publikacji.",In-app,about_footer_thanks,,needs_review,
Giving Back,Pomagamy innym,In-app,about_giving_back_header,,needs_review,
A native app for managing App Store Connect,Natywna aplikacja do zarządzania App Store Connect,In-app,about_helm_subtitle,,needs_review,
Shipped with Helm!,Wydano z Helm!,In-app,about_helm_title,,needs_review,
Accessibility up to 11!,Accessibility up to 11!,In-app,about_link_blog,,needs_review,
BlueSky,BlueSky,In-app,about_link_bluesky,,needs_review,
LinkedIn,LinkedIn,In-app,about_link_linkedin,,needs_review,
Mastodon,Mastodon,In-app,about_link_mastodon,,needs_review,
X (Twitter),X (Twitter),In-app,about_link_twitter,,needs_review,
Opens the App Store review page,Otwiera stronę oceny w App Store,In-app,about_rate_hint,,needs_review,
Rate RetroRapid!,Oceń RetroRapid!,In-app,about_rate_title,,needs_review,
Swift for Swifts,Swift for Swifts,In-app,about_swift_for_swifts_title,,needs_review,
About,O aplikacji,In-app,about_title,,needs_review,
You completed a run using Digital Crown controls.,Ukończono przejazd przy użyciu Digital Crown.,In-app,achievement_achieved_control_crown,,needs_review,
You completed a run using Game Controller controls.,Ukończono przejazd przy użyciu kontrolera.,In-app,achievement_achieved_control_gamecontroller,,needs_review,
You completed a run using Keyboard controls.,Ukończono przejazd przy użyciu klawiatury.,In-app,achievement_achieved_control_keyboard,,needs_review,
You completed a run using Swipe controls.,Ukończono przejazd przy użyciu gestów przesunięcia.,In-app,achievement_achieved_control_swipe,,needs_review,
You completed a run using Tap controls.,Ukończono przejazd przy użyciu sterowania dotykiem.,In-app,achievement_achieved_control_tap,,needs_review,
You completed a run using VoiceOver controls.,Ukończono przejazd przy użyciu VoiceOver.,In-app,achievement_achieved_control_voiceover,,needs_review,
You completed a run during GAAD week using assistive technology.,Ukończono przejazd podczas tygodnia GAAD przy użyciu technologii asystującej.,In-app,achievement_achieved_event_gaad,,needs_review,
