English source,Translation,Layer,Identifier,Limits,State,Reviewer notes
,,In-app,,,needs_review,
%1$@%2$@,%1$@%2$@,In-app,%@%@,,needs_review,
%1$@%2$@%3$@,%1$@%2$@%3$@,In-app,%@%@%@,,needs_review,
%lld,%lld,In-app,%lld,,needs_review,
%lld life remaining,%lld vida restante,In-app,%lld life remaining,,needs_review,
%lld lives remaining,%lld vidas restantes,In-app,%lld lives remaining,,needs_review,
0%,0%,In-app,0%,,needs_review,
100%,100%,In-app,100%,,needs_review,
Close,Fechar,In-app,Close,,needs_review,
Game Center is unavailable for this account.,O Game Center não está disponível para esta conta.,In-app,Game Center is unavailable for this account.,,needs_review,
Game Center leaderboard is available on iOS and tvOS.,O ranking do Game Center está disponível no iOS e tvOS.,In-app,Game Center leaderboard is available on iOS and tvOS.,,needs_review,
Game Center leaderboard is not available on this device.,O ranking do Game Center não está disponível neste dispositivo.,In-app,Game Center leaderboard is not available on this device.,,needs_review,
Opens app rating prompt,Abre o ecrã de avaliação na App Store,In-app,Opens app rating prompt,,needs_review,
Screenshot capture ready,Captura de ecrã pronta,In-app,Screenshot capture ready,,needs_review,
Shows Game Center leaderboard,Mostra o ranking do Game Center,In-app,Shows Game Center leaderboard,,needs_review,
Sign in to Game Center to view the leaderboard.,Entre no Game Center para ver o ranking.,In-app,Sign in to Game Center to view the leaderboard.,,needs_review,
Starts the game,Inicia o jogo,In-app,Starts the game,,needs_review,
Also Supporting,Também apoiamos,In-app,about_also_supporting_header,,needs_review,
"10% of proceeds go to AMMEC, an association that promotes autonomy and social integration for people with physical disabilities, supporting families and fostering community.","10% dos valores vão para a AMMEC, uma associação que promove autonomia e integração social de pessoas com deficiência física, apoiando famílias e fortalecendo a comunidade.",In-app,about_ammec_footer,,needs_review,
AMMEC,AMMEC,In-app,about_ammec_title,,needs_review,
"App information, tips, and help","Informações do app, dicas e ajuda",In-app,about_app_subtitle,,needs_review,
RetroRapid!,RetroRapid!,In-app,about_app_title,,needs_review,
For being the coolest conference,Pela conferência mais irada,In-app,about_arcticonference_subtitle,,needs_review,
ARCtic Conference,ARCtic Conference,In-app,about_arcticonference_title,,needs_review,
Let's connect!,Vamos nos conectar!,In-app,about_connect_header,,needs_review,
Credits,Créditos,In-app,about_credits_header,,needs_review,
Licensed under the SIL Open Font License 1.1,Licenciada sob a SIL Open Font License 1.1,In-app,about_font_license,,needs_review,
Press Start 2P,Press Start 2P,In-app,about_font_press_start,,needs_review,
"Oulu, Finland","Oulu, Finlândia",In-app,about_footer_location,,needs_review,
Released with love ❤️ from ARCtic,Lançado com amor ❤️ da ARCtic,In-app,about_footer_love,,needs_review,
Thanks to everyone that played the game and encouraged me to push the button.,Obrigado a todos que jogaram e me incentivaram a apertar o botão.,In-app,about_footer_thanks,,needs_review,
Giving Back,Retribuir,In-app,about_giving_back_header,,needs_review,
A native app for managing App Store Connect,Um app nativo para gerenciar o App Store Connect,In-app,about_helm_subtitle,,needs_review,
Shipped with Helm!,Shipped with Helm!,In-app,about_helm_title,,needs_review,
Accessibility up to 11!,Accessibility up to 11!,In-app,about_link_blog,,needs_review,
BlueSky,BlueSky,In-app,about_link_bluesky,,needs_review,
LinkedIn,LinkedIn,In-app,about_link_linkedin,,needs_review,
Mastodon,Mastodon,In-app,about_link_mastodon,,needs_review,
X (Twitter),X (Twitter),In-app,about_link_twitter,,needs_review,
Opens the App Store review page,Abre a página de avaliação na App Store,In-app,about_rate_hint,,needs_review,
Rate RetroRapid!,Avalie o RetroRapid!,In-app,about_rate_title,,needs_review,
Swift for Swifts,Swift for Swifts,In-app,about_swift_for_swifts_title,,needs_review,
About,Sobre,In-app,about_title,,needs_review,
You completed a run using Digital Crown controls.,completou uma corrida usando os controlos da Digital Crown.,In-app,achievement_achieved_control_crown,,needs_review,
You completed a run using Game Controller controls.,completou uma corrida usando um comando de jogo.,In-app,achievement_achieved_control_gamecontroller,,needs_review,
You completed a run using Keyboard controls.,completou uma corrida usando o teclado.,In-app,achievement_achieved_control_keyboard,,needs_review,
You completed a run using Swipe controls.,completou uma corrida usando gestos de deslizar.,In-app,achievement_achieved_control_swipe,,needs_review,
You completed a run using Tap controls.,completou uma corrida usando toques no ecrã.,In-app,achievement_achieved_control_tap,,needs_review,
You completed a run using VoiceOver controls.,completou uma corrida usando controlos do VoiceOver.,In-app,achievement_achieved_control_voiceover,,needs_review,
You completed a run during GAAD week using assistive technology.,completou uma corrida durante a semana do GAAD usando tecnologia assistiva.,In-app,achievement_achieved_event_gaad,,needs_review,
You overtook %@ cars in one run.,ultrapassou %@ carros em uma corrida.,In-app,achievement_achieved_run_overtakes %@,,needs_review,
You overtook %@ cars in total.,ultrapassou %@ carros no total.,In-app,achievement_achieved_total_overtakes %@,,needs_review,
