English source,Translation,Layer,Identifier,Limits,State,Reviewer notes
,,In-app,,,needs_review,
%1$@%2$@,%1$@%2$@,In-app,%@%@,,needs_review,
%1$@%2$@%3$@,%1$@%2$@%3$@,In-app,%@%@%@,,needs_review,
%lld,%lld,In-app,%lld,,needs_review,
%lld life remaining,%lld can kaldı,In-app,%lld life remaining,,needs_review,
%lld lives remaining,%lld can kaldı,In-app,%lld lives remaining,,needs_review,
0%,0%,In-app,0%,,needs_review,
100%,100%,In-app,100%,,needs_review,
Close,Kapat,In-app,Close,,needs_review,
Game Center is unavailable for this account.,Game Center bu hesap için kullanılamıyor.,In-app,Game Center is unavailable for this account.,,needs_review,
Game Center leaderboard is available on iOS and tvOS.,Game Center liderlik tablosu iOS ve tvOS'te kullanılabilir.,In-app,Game Center leaderboard is available on iOS and tvOS.,,needs_review,
Game Center leaderboard is not available on this device.,Game Center liderlik tablosu bu aygıtta kullanılamıyor.,In-app,Game Center leaderboard is not available on this device.,,needs_review,
Opens app rating prompt,Uygulama değerlendirme istemini açar,In-app,Opens app rating prompt,,needs_review,
Screenshot capture ready,Ekran görüntüsü çekimine hazır,In-app,Screenshot capture ready,,needs_review,
Shows Game Center leaderboard,Game Center liderlik tablosunu gösterir,In-app,Shows Game Center leaderboard,,needs_review,
Sign in to Game Center to view the leaderboard.,Liderlik tablosunu görmek için Game Center'a giriş yap.,In-app,Sign in to Game Center to view the leaderboard.,,needs_review,
Starts the game,Oyunu başlatır,In-app,Starts the game,,needs_review,
Also Supporting,Ayrıca Desteklenenler,In-app,about_also_supporting_header,,needs_review,
"10% of proceeds go to AMMEC, an association that promotes autonomy and social integration for people with physical disabilities, supporting families and fostering community.","Gelirin %10'u, fiziksel engelli bireylerin bağımsızlığını ve toplumsal katılımını destekleyen, ailelere yardım eden ve topluluk oluşturan AMMEC'e bağışlanır.",In-app,about_ammec_footer,,needs_review,
AMMEC,AMMEC,In-app,about_ammec_title,,needs_review,
"App information, tips, and help","Uygulama bilgileri, ipuçları ve yardım",In-app,about_app_subtitle,,needs_review,
RetroRapid!,RetroRapid!,In-app,about_app_title,,needs_review,
For being the coolest conference,En havalı konferans olduğu için,In-app,about_arcticonference_subtitle,,needs_review,
ARCtic Conference,ARCtic Conference,In-app,about_arcticonference_title,,needs_review,
Let's connect!,Bağlantı kuralım!,In-app,about_connect_header,,needs_review,
Credits,Emeği Geçenler,In-app,about_credits_header,,needs_review,
Licensed under the SIL Open Font License 1.1,SIL Open Font License 1.1 kapsamında lisanslanmıştır,In-app,about_font_license,,needs_review,
Press Start 2P,Press Start 2P,In-app,about_font_press_start,,needs_review,
"Oulu, Finland","Oulu, Finlandiya",In-app,about_footer_location,,needs_review,
Released with love ❤️ from ARCtic,ARCtic'ten sevgiyle yayınlandı ❤️,In-app,about_footer_love,,needs_review,
Thanks to everyone that played the game and encouraged me to push the button.,Oyunu oynayan ve yayınlama düğmesine basmam için beni cesaretlendiren herkese teşekkürler.,In-app,about_footer_thanks,,needs_review,
Giving Back,Topluma Katkı,In-app,about_giving_back_header,,needs_review,
A native app for managing App Store Connect,App Store Connect'i yönetmek için yerel bir uygulama,In-app,about_helm_subtitle,,needs_review,
Shipped with Helm!,Helm ile yayınlandı!,In-app,about_helm_title,,needs_review,
Accessibility up to 11!,Accessibility up to 11!,In-app,about_link_blog,,needs_review,
BlueSky,BlueSky,In-app,about_link_bluesky,,needs_review,
LinkedIn,LinkedIn,In-app,about_link_linkedin,,needs_review,
Mastodon,Mastodon,In-app,about_link_mastodon,,needs_review,
X (Twitter),X (Twitter),In-app,about_link_twitter,,needs_review,
Opens the App Store review page,App Store değerlendirme sayfasını açar,In-app,about_rate_hint,,needs_review,
Rate RetroRapid!,RetroRapid!'i Değerlendir,In-app,about_rate_title,,needs_review,
Swift for Swifts,Swift for Swifts,In-app,about_swift_for_swifts_title,,needs_review,
About,Hakkında,In-app,about_title,,needs_review,
You completed a run using Digital Crown controls.,Digital Crown kontrollerini kullanarak bir yarış tamamladın.,In-app,achievement_achieved_control_crown,,needs_review,
You completed a run using Game Controller controls.,Oyun Kumandası kontrollerini kullanarak bir yarış tamamladın.,In-app,achievement_achieved_control_gamecontroller,,needs_review,
You completed a run using Keyboard controls.,Klavye kontrollerini kullanarak bir yarış tamamladın.,In-app,achievement_achieved_control_keyboard,,needs_review,
You completed a run using Swipe controls.,Kaydırma kontrollerini kullanarak bir yarış tamamladın.,In-app,achievement_achieved_control_swipe,,needs_review,
You completed a run using Tap controls.,Dokunma kontrollerini kullanarak bir yarış tamamladın.,In-app,achievement_achieved_control_tap,,needs_review,
You completed a run using VoiceOver controls.,VoiceOver kontrollerini kullanarak bir yarış tamamladın.,In-app,achievement_achieved_control_voiceover,,needs_review,
