English source,Translation,Layer,Identifier,Limits,State,Reviewer notes
,,In-app,,,needs_review,
%1$@%2$@,%1$@%2$@,In-app,%@%@,,needs_review,
%1$@%2$@%3$@,%1$@%2$@%3$@,In-app,%@%@%@,,needs_review,
%lld,%lld,In-app,%lld,,needs_review,
%lld life remaining,剩餘生命 %lld,In-app,%lld life remaining,,needs_review,
%lld lives remaining,剩餘生命 %lld,In-app,%lld lives remaining,,needs_review,
0%,0%,In-app,0%,,needs_review,
100%,100%,In-app,100%,,needs_review,
Close,關閉,In-app,Close,,needs_review,
Game Center is unavailable for this account.,此帳號無法使用 Game Center。,In-app,Game Center is unavailable for this account.,,needs_review,
Game Center leaderboard is available on iOS and tvOS.,Game Center 排行榜可在 iOS 與 tvOS 上使用。,In-app,Game Center leaderboard is available on iOS and tvOS.,,needs_review,
Game Center leaderboard is not available on this device.,此裝置無法使用 Game Center 排行榜。,In-app,Game Center leaderboard is not available on this device.,,needs_review,
Opens app rating prompt,開啟 App Store 評分提示,In-app,Opens app rating prompt,,needs_review,
Screenshot capture ready,螢幕截圖擷取就緒,In-app,Screenshot capture ready,,needs_review,
Shows Game Center leaderboard,顯示 Game Center 排行榜,In-app,Shows Game Center leaderboard,,needs_review,
Sign in to Game Center to view the leaderboard.,請登入 Game Center 以查看排行榜。,In-app,Sign in to Game Center to view the leaderboard.,,needs_review,
Starts the game,開始遊戲,In-app,Starts the game,,needs_review,
Also Supporting,也支持,In-app,about_also_supporting_header,,needs_review,
"10% of proceeds go to AMMEC, an association that promotes autonomy and social integration for people with physical disabilities, supporting families and fostering community.",收益的 10% 將捐給 AMMEC，這個協會促進身心障礙者的自主與社會融入，支持家庭並凝聚社群。,In-app,about_ammec_footer,,needs_review,
AMMEC,AMMEC,In-app,about_ammec_title,,needs_review,
"App information, tips, and help",App 資訊、提示與說明,In-app,about_app_subtitle,,needs_review,
RetroRapid!,RetroRapid!,In-app,about_app_title,,needs_review,
For being the coolest conference,獻給最酷的開發者大會,In-app,about_arcticonference_subtitle,,needs_review,
ARCtic Conference,ARCtic Conference,In-app,about_arcticonference_title,,needs_review,
Let's connect!,一起連結！,In-app,about_connect_header,,needs_review,
Credits,製作群,In-app,about_credits_header,,needs_review,
Licensed under the SIL Open Font License 1.1,依 SIL Open Font License 1.1 授權,In-app,about_font_license,,needs_review,
Press Start 2P,Press Start 2P,In-app,about_font_press_start,,needs_review,
"Oulu, Finland",芬蘭奥盧,In-app,about_footer_location,,needs_review,
Released with love ❤️ from ARCtic,由 ARCtic 帶著愛 ❤️ 推出,In-app,about_footer_love,,needs_review,
Thanks to everyone that played the game and encouraged me to push the button.,感謝所有玩過遊戲、並鼓勵我按下發佈按鈕的人。,In-app,about_footer_thanks,,needs_review,
Giving Back,回饋社會,In-app,about_giving_back_header,,needs_review,
A native app for managing App Store Connect,管理 App Store Connect 的原生 App,In-app,about_helm_subtitle,,needs_review,
Shipped with Helm!,Shipped with Helm!,In-app,about_helm_title,,needs_review,
Accessibility up to 11!,Accessibility up to 11!,In-app,about_link_blog,,needs_review,
BlueSky,BlueSky,In-app,about_link_bluesky,,needs_review,
LinkedIn,LinkedIn,In-app,about_link_linkedin,,needs_review,
Mastodon,Mastodon,In-app,about_link_mastodon,,needs_review,
X (Twitter),X (Twitter),In-app,about_link_twitter,,needs_review,
Opens the App Store review page,開啟 App Store 評論頁面,In-app,about_rate_hint,,needs_review,
Rate RetroRapid!,為 RetroRapid! 評分,In-app,about_rate_title,,needs_review,
Swift for Swifts,Swift for Swifts,In-app,about_swift_for_swifts_title,,needs_review,
About,關於,In-app,about_title,,needs_review,
You completed a run using Digital Crown controls.,你使用 Digital Crown 操作完成了一局。,In-app,achievement_achieved_control_crown,,needs_review,
You completed a run using Game Controller controls.,你使用遊戲控制器完成了一局。,In-app,achievement_achieved_control_gamecontroller,,needs_review,
You completed a run using Keyboard controls.,你使用鍵盤操作完成了一局。,In-app,achievement_achieved_control_keyboard,,needs_review,
You completed a run using Swipe controls.,你使用滑動操作完成了一局。,In-app,achievement_achieved_control_swipe,,needs_review,
You completed a run using Tap controls.,你使用點按操作完成了一局。,In-app,achievement_achieved_control_tap,,needs_review,
You completed a run using VoiceOver controls.,你使用 VoiceOver 操作完成了一局。,In-app,achievement_achieved_control_voiceover,,needs_review,
You completed a run during GAAD week using assistive technology.,你在 GAAD 週期間使用輔助科技完成了一局。,In-app,achievement_achieved_event_gaad,,needs_review,
You overtook %@ cars in one run.,你在一局中超車 %@ 輛。,In-app,achievement_achieved_run_overtakes %@,,needs_review,
You overtook %@ cars in total.,你總共超車 %@ 輛。,In-app,achievement_achieved_total_overtakes %@,,needs_review,
Digital Crown,Digital Crown,In-app,achievement_control_name_crown,,needs_review,
